ProductId,Prompt,output_gpt-4,model_gpt-4
200440,"
Mach mir eine kurze Produktzusammenfassung.


Anschluss A: 1x Cinch
Anschluss B: 1x Cinch
Anwendungsbereich: Consumer / Hi-Fi
Art: Kabel
Audio Kabeltyp: Cinch
Datenübertragung: Digital
Genaue Materialbezeichnung: Kupfer
Innenleiter Material: Kupfer
Kabel Anwendung: Digital-audio
Kabel Bauform: sauerstofffreies Kupfer
Kabel Verbindung: Anschluss (M/M)
Kabelfarbe: Blau
Länge: 3 Meter (m) Meter
Menge pro Packung: 1 Stück (Stk.) Stück
Steckerform: Vergoldete Kontakte
Steckerform: Gerade
Tiefe: 3 Meter (m) Meter
","Dieses ist ein hochwertiges Digitales Audio-Kabel, das speziell für den Consumer / Hi-Fi-Bereich konzipiert wurde. Es verfügt über zwei Cinch-Anschlüsse (M/M) und ermöglicht eine digitale Datenübertragung. Das Kabel ist aus sauerstofffreiem Kupfer gefertigt, was eine hervorragende Signalqualität gewährleistet. Die Anschlüsse haben vergoldete Kontakte und eine gerade Steckerform. Das Kabel hat eine Länge von 3 Metern und kommt in blauer Farbe. Jede Packung enthält ein Stück.",gpt-4
203240,"
Mach mir eine kurze Produktzusammenfassung.


Artikel pro Verkaufseinheit: 2 Stück (Stk.) Stück
Druckerserie: DesignJet
Druckfarbe: Magenta
Druckfarbe: Cyan
Farbbezeichnung: C
Farbbezeichnung: M
Herstellerengagement: SBTi
Herstellerengagement: RE100
Inhalt: 130 Milliliter (ml) Milliliter
Kompatibel zu OEM: C9383A
Kompatible Druckermodelle: T1100
Kompatible Druckermodelle: T1100PS
Kompatible Druckermodelle: T1200
Passende Druckermarke: HP
Patronenart: Originalprodukt
Patronengrösse: Normal
Patronentyp: Druckkopf
Ursprungsland: Singapur
","Dieses Produkt ist ein Original HP Druckkopf in der Farbe Magenta und Cyan, passend für die Druckerserie DesignJet. Es ist mit den Druckermodellen T1100, T1100PS, T1200 kompatibel. Jede Verkaufseinheit enthält 2 Stück und die Patronengröße ist normal. Die Patronen haben einen Inhalt von 130 Milliliter. Der Druckkopf ist kompatibel zum OEM C9383A. Das Produkt ist ein Originalprodukt und stammt aus Singapur. Der Hersteller engagiert sich für SBTi und RE100.",gpt-4
204460,"
Mach mir eine kurze Produktzusammenfassung.


American Wire Gauge (AWG): 26
Anschluss A: RJ45
Anschluss B: RJ45
Artikel pro Verkaufseinheit: 1 Stück (Stück) Stück
Breite: 150 Millimeter (mm) Millimeter
Genaue Materialbezeichnung: Polyvinylchlorid (PVC)
Gewicht: 83.5 Gramm (g) Gramm
Impedanz: 100 Ohm
Kabel Anwendung: Netzwerk
Kabel Bauform: 100 Ohm
Kabel Kategorie: CAT6
Kabel Verbindung: Anschluss (M/M)
Kabelfarbe: Blau
Kontaktbelegung: ungekreuzt (straight)
Lieferumfang: 1
Länge: 2 Meter (m) Meter
Material Isolation: Polyvinylchlorid
Patchkabel Merkmale: Halogenfrei
Patchkabeltyp: Kupferkabel
Schirmung: S/FTP
Steckerform: Vergoldete Kontakte
Ursprungsland: China
","Dieses Produkt ist ein 2 Meter langes, blaues Netzwerkkabel aus Polyvinylchlorid mit der Kategorie CAT6 und einer Impedanz von 100 Ohm. Es hat eine AWG von 26 und eine Breite von 150mm. Das Kabel hat an beiden Enden RJ45-Anschlüsse und ist ungekreuzt. Die Kontakte sind vergoldet. Die Schirmung ist S/FTP und das Kabel ist halogenfrei. Im Lieferumfang ist ein Kabel enthalten. Herkunftsland des Produkts ist China.",gpt-4
207900,"
Mach mir eine kurze Produktzusammenfassung.


Antriebsart: Riemenantrieb
Audio-Anschlüsse: Cinch S/PDIF (1x)
Breite: 360 Millimeter (mm) Millimeter
Drehzahl: 45 Rpm
Drehzahl: 33 Rpm
Energieversorgung: Netzbetrieb
Ersatznadeltyp: DSN-82
Farbgruppe: Silber
Genaue Farbbezeichnung: Silber
Genaue Materialbezeichnung: Kunststoff
Gewicht: 2.7 Kilogramm (kg) Kilogramm
Höhe: 97 Millimeter (mm) Millimeter
Lieferumfang: Handbuch
Materialgruppe: Kunststoff
Plattenspieler Ausstattung: Vorverstärker
Plattenspieler Betriebsart: Vollautomatisch
Tiefe: 357 Millimeter (mm) Millimeter
Tonabnehmer: Moving Magnet
Tonarm: Gerade
","Dieser vollautomatische Plattenspieler ist einem eleganten Silber gehalten und hat eine Breite von 360mm, eine Höhe von 97mm und eine Tiefe von 357mm. Mit einem Gewicht von 2.7kg ist er leicht und kompakt. Der Plattenspieler ist mit einem Riemenantrieb ausgestattet und unterstützt Drehgeschwindigkeiten von 33 und 45 Rpm. Er hat einen geraden Tonarm und verwendet einen Moving Magnet Tonabnehmer. Der Plattenspieler verfügt über einen Vorverstärker und wird über das Netz betrieben. Im Lieferumfang ist ein Handbuch enthalten. Der Plattenspieler hat Cinch S/PDIF Audio-Anschlüsse und der Ersatznadeltyp ist DSN-82. Das Material ist Kunststoff.",gpt-4
213020,"
Mach mir eine kurze Produktzusammenfassung.


Artikel pro Verkaufseinheit: 1 Stück (Stk.) Stück
Breite: 22 Zentimeter (cm) Zentimeter
Druckerserie: C
Druckfarbe: Schwarz
Druckleistung bei 5% Deckung: 20000 Anzahl (x) Anzahl
Farbbezeichnung: BK
Gewicht: 1400 Gramm (g) Gramm
Herstellerengagement: SBTi
Höhe: 38 Zentimeter (cm) Zentimeter
Kompatible Druckermodelle: C5750
Kompatible Druckermodelle: C5650
Passende Druckermarke: OKI
Patronenart: Originalprodukt
Tiefe: 15 Zentimeter (cm) Zentimeter
Tonergrösse: Normal
Tonertyp: Trommeleinheit
Ursprungsland: Japan
","Dieses Produkt ist eine originale Trommeleinheit für OKI Drucker der C-Serie, speziell für die Modelle C5750 und C5650. Sie hat die Farbbezeichnung BK, was auf die Druckfarbe Schwarz hinweist. Mit einer Druckleistung von 20.000 Seiten bei 5% Deckung ist sie optimal für den regelmäßigen Gebrauch geeignet. Die Trommeleinheit wiegt 1400 g und hat die Maße 22 x 38 x 15 cm (B x H x T). Das Produkt stammt ursprünglich aus Japan. Der Hersteller hat sich zudem dem SBTi-Engagement angeschlossen. Es handelt sich um ein Normalgröße Toner.",gpt-4
217400,"
Mach mir eine kurze Produktzusammenfassung.


Breite: 54 Zentimeter (cm) Zentimeter
Farbgruppe: Schwarz
Genaue Farbbezeichnung: Schwarz
Genaue Materialbezeichnung: Metall
Gewicht: 7 Kilogramm (kg) Kilogramm
Höhe: 29 Zentimeter (cm) Zentimeter
Kabellänge: 2 Meter (m) Meter
Leistung: 1000 Watt (W) Watt
Lieferumfang: Montagezubehör
Lieferumfang: Handbuch
Lieferumfang: Käsehalter
Lieferumfang: Raclette-Ofen
Lieferumfang: Netzkabel
Länge: 33 Zentimeter (cm) Zentimeter
Materialgruppe: Metall
Max. Anzahl Personen: 10 Anzahl (x) Anzahl
Netzspannung: 230 V
Raclette Art: Käse in Laibform
Ursprungsland: Schweiz
","Dieses Raclette-Set ist ideal für bis zu 10 Personen. Mit einer Leistung von 1000 Watt und einer Netzspannung von 230 V ist es leistungsstark und zuverlässig. Das Produkt ist in der Farbe Schwarz erhältlich und besteht aus robustem Metall. Der Raclette-Ofen hat die Maße 54cm x 29cm x 33cm und wiegt 7 kg. Die Kabellänge beträgt 2 Meter, was ausreichend Flexibilität bietet. Im Lieferumfang enthalten sind Montagezubehör, ein Handbuch, ein Käsehalter, der Raclette-Ofen selbst und ein Netzkabel. Dieses Raclette-Set ist speziell für Käse in Laibform konzipiert und stammt aus der Schweiz.",gpt-4
217880,"
Mach mir eine kurze Produktzusammenfassung.


Anwendungsbereich: Outdoor
Behältervolumen: 265 Liter (l) Liter
Bodenloch: gelocht
Breite: 75 Zentimeter (cm) Zentimeter
Durchmesser: 75 Zentimeter (cm) Zentimeter
Farbgruppe: Grau
Form: Rund
Format (Abmessung): Ø 75 x 60 cm
Genaue Farbbezeichnung: Grau
Genaue Materialbezeichnung: Faserzement
Gewicht: 33 Kilogramm (kg) Kilogramm
Höhe: 60 Zentimeter (cm) Zentimeter
Länge: 75 Zentimeter (cm) Zentimeter
Materialgruppe: Zement
Oberflächenbearbeitung: Glatt
","Dieses Produkt ist ein Outdoor-Behälter mit einem Volumen von 265 Litern. Es ist rund, hat einen Durchmesser und eine Länge von jeweils 75 cm und eine Höhe von 60 cm. Das Gewicht beträgt 33 kg. Der Behälter ist grau und besteht aus Faserzement, der glatt verarbeitet ist. Das Bodenloch des Behälters ist gelocht. Das Format ist Ø 75 x 60 cm. Ideal für den Einsatz im Freien.",gpt-4
217920,"
Mach mir eine kurze Produktzusammenfassung.


Breite: 50 Zentimeter (cm) Zentimeter
Farbgruppe: Grau
Genaue Farbbezeichnung: Grau
Genaue Materialbezeichnung: Faserzement
Holzhandelsverordnung: Produkt ist von der Holzhandelsverordnung betroffen
Holzherkunft: Schweiz
Höhe: 25 Zentimeter (cm) Zentimeter
Materialgruppe: Zement
Oberflächenbearbeitung: Glatt
","Dieses Produkt ist ein graufarbenes, aus Faserzement hergestelltes Element. Es hat eine Breite von 50 Zentimetern und eine Höhe von 25 Zentimetern. Die Oberflächenbearbeitung ist glatt. Es ist zu beachten, dass dieses Produkt von der Holzhandelsverordnung betroffen ist und das Holz aus der Schweiz stammt.",gpt-4
218940,"
Mach mir eine kurze Produktzusammenfassung.


Anwendungsbereich: Indoor
Anzahl Batterien: 1
Anzeigetyp: Digital
Batteriebaugrösse: AA / LR6 / LR06 / Mignon / R6 / R14505
Breite: 95 Millimeter (mm) Millimeter
Energieversorgung: Batteriebetrieb
Farbgruppe: Silber
Genaue Farbbezeichnung: Schwarz
Genaue Materialbezeichnung: Kunststoff
Gewicht: 180 Gramm (g) Gramm
Höhe: 110 Millimeter (mm) Millimeter
Klima Messgerättyp: Thermometer
Lieferumfang: Batterie
Länge: 20 Millimeter (mm) Millimeter
Materialgruppe: Kunststoff
Messbereich Temperatur bis: 50 Grad Celsius (°C) Grad Celsius
Messbereich Temperatur von: -10 Grad Celsius (°C) Grad Celsius
Messeinheit: °C
Montageart: Wandmontage
Montageart: Freistehend
Sensor Messfunktionen: Temperatur
Zusatzfunktionen: Min/Max-Temperatur Speicherung
","Das Produkt ist ein indoor Thermometer, das digital die Temperatur anzeigt. Es wird durch eine AA Batterie betrieben, welche im Lieferumfang enthalten ist. Das Thermometer ist in Schwarz und Silber ausgeführt und besteht aus Kunststoff. Mit einer Breite von 95mm, Höhe von 110mm und Länge von 20mm wiegt es 180g. Es misst Temperaturen im Bereich von -10 bis 50 Grad Celsius und speichert dabei die Mindest- und Höchsttemperatur. Es kann entweder freistehend platziert oder an der Wand montiert werden.",gpt-4
219760,"
Mach mir eine kurze Produktzusammenfassung.


Dosentyp: C13
Geräteanschluss: C13
Kabelfarbe: Schwarz
Kabellänge: 1.8 Meter (m) Meter
Steckertyp: Typ 12
Wandanschluss: Typ 12
","Dieses Produkt ist ein schwarzes Kabel mit einer Länge von 1,8 Metern. Es hat einen Dosentyp und Geräteanschluss von C13 und ist mit einem Steckertyp und Wandanschluss vom Typ 12 ausgestattet. Ideal für verschiedene elektronische Geräte und Anwendungen.",gpt-4
